title,share,description,link,av,coin,danmaku,favorite,view,author,reply,time
[MAD]らき☆すた de ココロオドル,3,在浪娘那里看到的 本人仅是传播 原作者不明。抱歉,https://www.bilibili.com/video/av1144,1144,2,28,38,1976,吃手指的葱_,15,2010-01-06 22:25
【AMV】Toxico,4,Song: Beto Cuevas - Vuelvo 销魂啊~~~！！v=170991,https://www.bilibili.com/video/av1042,1042,3,52,62,7179,囧囧倉,21,2010-01-03 20:50
【AMV】Re-euolution再進化,2,"A quick Kobato video I put together, because I love Kobato. ",https://www.bilibili.com/video/av1040,1040,14,36,40,4935,囧囧倉,48,2010-01-03 19:55
【MAD】とある当麻の英雄目録,31,sm8237539 源UP：上条当麻,https://www.bilibili.com/video/av897,897,390,3115,2537,69890,搬运转载君,605,2009-12-07 01:23
【MAD】 CLANNAD 「Cloudy」,2,zoome.jp/reinoaniki/diary/34 源UP：月魄缘,https://www.bilibili.com/video/av891,891,2,95,31,2227,搬运转载君,19,2009-12-07 00:28
【MAD】CLANNAD amulet -original,3,sm8109193 源UP：月魄缘,https://www.bilibili.com/video/av890,890,1,20,10,1409,搬运转载君,10,2009-12-07 00:24
【神MAD】spiral（Fate/stay night）,2,sm8577292 saber酱在召唤诸君,https://www.bilibili.com/video/av866,866,18,301,124,9092,然后,29,2009-11-29 17:17
国人自制【东方】MAD,2,很神的东西，就是没下载····无奈吧TOT,https://www.bilibili.com/video/av859,859,1,21,27,2433,诺哲,6,2009-11-29 13:18
【MAD】银,3,MAD,https://www.bilibili.com/video/av823,823,1,21,5,1311,浣诀,16,2009-11-20 18:11
强物【东方MAD】SEPIA——国人制作,8,国人制的强物，不解释。为了得到支持搬上来的东西。下载;纳米:http://d.namipan.com/d/a8db9c1587e3252f83b95e0a019c59a4045d4f44adf44502,https://www.bilibili.com/video/av804,804,2,85,61,3570,诺哲,33,2009-11-15 21:43
【amv】AniMix_Project,2,典型美式混剪AMV 量大请小心食用-。-（bgm地址在此http://www.animemusicvideos.org/members/members_videoinfo.php?v=68413）,https://www.bilibili.com/video/av801,801,1,67,15,3527,-0-,42,2009-11-14 22:59
【MAD】とある科学の超電磁砲『へんたい！(ry』,4,zoome.jp/gin2/diary/78,https://www.bilibili.com/video/av792,792,0,28,8,3866,9尾雪狐,12,2009-11-13 11:07
【MAD?】スキ？キライ！？淫獣！！！,2,sm8564718 好多好多...图..云..小KK..囧 总时长3：42,https://www.bilibili.com/video/av687,687,171,35,14,7465,9尾雪狐,10,2009-10-21 22:37
【MAD】世界第一的学生会长（皋清）,2,zoome.jp/media_zoome/diary/3,https://www.bilibili.com/video/av664,664,13,337,158,8334,9尾雪狐,58,2009-10-17 01:49
【AKIRA】超燃的高达30周年纪念MAD,4,真***的燃了。,https://www.bilibili.com/video/av656,656,9,67,44,6746,御枫,8,2009-10-15 23:35
【MAD】CLANNAD【風子】,2,sm8197368,https://www.bilibili.com/video/av651,651,5,53,23,1704,アムロ,11,2009-10-14 23:15
【MAD】永遠の宝物×数码宝贝,2,sm8298942 嘛…… 算是怀旧吧,https://www.bilibili.com/video/av650,650,3,68,16,4152,アムロ,17,2009-10-14 23:09
【微剧透MAD】とある魔術の禁書目録-刻天の絆-,5,sm8437638,https://www.bilibili.com/video/av649,649,2,32,11,1943,アムロ,10,2009-10-14 23:03
【MAD】Beautiful World 2.0,3,"个人制作的一个EVAmad,用的是序的画面加破的主题曲,由于是初次尝试，加了6分钟的黑屏补丁，偶尔画面有些抖动",https://www.bilibili.com/video/av576,576,4,82,80,8532,madke,23,2009-09-24 15:23
【东方】東方别人伝1-4&东方MAD鬼畜姐妹,3,PAD1-4是很有...个性的东方手书，PAD5貌似是鬼畜眼镜相关MAD sm7457318 sm7733900 sm7956515 sm8278856 sm8268724,https://www.bilibili.com/video/av552,552,2,947,83,--,llussr,24,2009-09-20 19:21
[太阳和珊瑚]东方秋华录_24solarterms◎千年萃梦乡,8,转载物，珊瑚大赶快填秋华录的坑吧~下载请移步：http://tieba.baidu.com/f?kz=586424380,https://www.bilibili.com/video/av550,550,50,180,511,10701,折射,117,2009-09-20 18:13
【ハルヒMAD】志方あきこ - 片恋【キョン×長門】,5,sm8103314,https://www.bilibili.com/video/av528,528,8,19,29,3333,アムロ,23,2009-09-18 23:08
【MAD】 ライオン 【超高画质版】,5,第一次来MF投稿…… 其实我只是蛋疼……是个老MAD 11分钟黑屏,https://www.bilibili.com/video/av526,526,10,175,110,7397,アムロ,46,2009-09-18 22:54
